full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
alirezarezvani/claude-skills,10280,10280,1288,17,17,2,https://github.com/alirezarezvani/claude-skills
Kuberwastaken/claurst,8857,8857,7710,5,5,2,https://github.com/Kuberwastaken/claurst
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3136,3136,597,6,6,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
rohitg00/awesome-claude-code-toolkit,1168,1168,336,1,1,0,https://github.com/rohitg00/awesome-claude-code-toolkit
luongnv89/claude-howto,24368,24368,2920,90,90,9,https://github.com/luongnv89/claude-howto
feiskyer/claude-code-settings,1427,1427,212,0,0,0,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,9651,9651,1276,4,4,2,https://github.com/siteboon/claudecodeui
Hyper66666/claude-code-sourcemap,202,202,453,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
slopus/happy,17622,17622,1432,11,11,0,https://github.com/slopus/happy
sugyan/claude-code-webui,1006,1006,233,0,0,0,https://github.com/sugyan/claude-code-webui
centminmod/my-claude-code-setup,2181,2181,216,1,1,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1526,1526,243,0,0,0,https://github.com/lst97/claude-code-sub-agents
darcyegb/ClaudeCodeAgents,649,649,58,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
